"0.429015456243825,0.140097330823597,NaN,0.291669115838919,0.126926892371176,0.306783969333552,NaN,0.194743191122496,0.220565411077805,NaN,NaN,0.104463091544276,0.0812917801824016,NaN,0.279334712211537,0.187476605599625,-0.00215834440926264,0.112863134581684,0.328061169956749,0.147463650221544,0.424127980956568,0.24045490492935,0.284740074853426,0.048619021522677,NaN,0.243911480299849,0.0804103705142555,NaN,0.0900665218226293,0.0947940015741261,NaN,0.206169109152243,NaN,0.0255989015022679,0.102783171373228,0.0893124370031807,0.0142172517527991,0.248812640486972,0.284576705027849,0.0513973214884055,0.279909779579117,NaN,NaN,0.227540090582355,0.223264868448565"	"0.570984543756175,0.859902669176403,NaN,0.708330884161081,0.873073107628824,0.693216030666448,NaN,0.805256808877504,0.779434588922195,NaN,NaN,0.895536908455724,0.918708219817598,NaN,0.720665287788463,0.812523394400375,1.00215834440926,0.887136865418315,0.671938830043251,0.852536349778456,0.575872019043432,0.75954509507065,0.715259925146574,0.951380978477323,NaN,0.756088519700151,0.919589629485745,NaN,0.909933478177371,0.905205998425874,NaN,0.793830890847757,NaN,0.974401098497732,0.897216828626771,0.910687562996819,0.985782748247201,0.751187359513028,0.715423294972151,0.948602678511594,0.720090220420883,NaN,NaN,0.772459909417645,0.776735131551435"	"0.392283152613009,0.195114482465073,0.861520150660244,0.184961670494276,0.144983703075676,0.350189289580339,0.23741970829667,0.154575796818093,0.0409870857147144,0.672355069215777,0.159735799663929,0.0283539440934332,0.0684171405330805,1.37165112010539,0.245751445314831,0.347975229620214,0.113599101143229,0.113570143842817,0.187290576816284,0.130860767908163,0.28498021538508,0.164034941841015,0.275691772474343,-0.0465264067309913,0.593301051944478,0.304636483183501,0.0642997615373398,0.453188077662506,0.053074343780522,-0.136999233707188,1.52340294815916,0.188767947004479,0.253865213381175,0.0399065315255955,0.0512486083972901,-0.0488777789589769,-0.0557058735947606,0.203253915576853,0.393268563157213,-0.0958297459869278,0.140308824564484,0.443733329379786,0.80631265306139,0.284103276586934,0.195131615385028"	"0.607716847386991,0.804885517534927,0.138479849339756,0.815038329505724,0.855016296924324,0.649810710419661,0.76258029170333,0.845424203181907,0.959012914285286,0.327644930784223,0.840264200336071,0.971646055906567,0.93158285946692,-0.371651120105387,0.754248554685169,0.652024770379786,0.886400898856771,0.886429856157183,0.812709423183716,0.869139232091837,0.71501978461492,0.835965058158985,0.724308227525657,1.04652640673099,0.406698948055522,0.695363516816499,0.93570023846266,0.546811922337494,0.946925656219478,1.13699923370719,-0.523402948159163,0.811232052995521,0.746134786618825,0.960093468474404,0.94875139160271,1.04887777895898,1.05570587359476,0.796746084423147,0.606731436842787,1.09582974598693,0.859691175435516,0.556266670620214,0.19368734693861,0.715896723413066,0.804868384614972"	"TCGA-AR-A256,TCGA-BH-A0DG,TCGA-E2-A1LE,TCGA-3C-AAAU,TCGA-E2-A1IG,TCGA-A2-A3XT,TCGA-BH-A0BF,TCGA-AR-A1AJ,TCGA-AR-A0TT,TCGA-B6-A409,TCGA-BH-A1FH,TCGA-AC-A2FG,TCGA-E2-A1B1,TCGA-A1-A0SK,TCGA-B6-A0WY,TCGA-B6-A0RO,TCGA-B6-A0RG,TCGA-AO-A128,TCGA-BH-A204,TCGA-AR-A24L,TCGA-AR-A1AV,TCGA-E2-A1LI,TCGA-B6-A0WV,TCGA-A2-A0EP,TCGA-E9-A1NF,TCGA-AR-A0U2,TCGA-AO-A12C,TCGA-BH-A1F2,TCGA-BH-A0H3,TCGA-GM-A4E0,TCGA-A7-A13E,TCGA-AR-A24N,TCGA-B6-A3ZX,TCGA-OL-A66J,TCGA-PE-A5DE,TCGA-AR-A1AK,TCGA-B6-A2IU,TCGA-E2-A1AZ,TCGA-D8-A73W,TCGA-GM-A2DA,TCGA-PE-A5DD,TCGA-AC-A2FM,TCGA-OL-A5D6,TCGA-AO-A129,TCGA-AC-A23G"	"1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1"
"0.637109596410823,0.185464728765405,0.180937137814084,0.110119280429916,0.492410076002446,0.400136695152083,0.0729952402804528,0.104053601514812,0.183028405262208,0.0688144627225596,0.0537493526196089,0.0956111171371088,0.142463569394921,NaN,0.109219044499668,0.104189987738362,0.206740694349053,0.243745650338317,0.0559400404365368,NaN,0.186116446364366,NaN,0.404712922205202,0.0600213968376384,0.23250502594672,0.159895130037126,0.159371904426235,0.439496539679486,0.326263867503578,0.127595296109101,0.489162690222482,NaN,0.0815611460205498,0.107130069703899,0.203534430015458,0.382200962756544,0.179365263977664,-0.0538842077456329,0.306618471442521,0.0970677975103145"	"0.362890403589177,0.814535271234595,0.819062862185916,0.889880719570084,0.507589923997554,0.599863304847917,0.927004759719547,0.895946398485187,0.816971594737792,0.93118553727744,0.946250647380391,0.904388882862891,0.857536430605079,NaN,0.890780955500332,0.895810012261638,0.793259305650947,0.756254349661683,0.944059959563463,NaN,0.813883553635634,NaN,0.595287077794798,0.939978603162362,0.76749497405328,0.840104869962874,0.840628095573765,0.560503460320514,0.673736132496422,0.872404703890899,0.510837309777518,NaN,0.91843885397945,0.892869930296101,0.796465569984542,0.617799037243456,0.820634736022335,1.05388420774563,0.693381528557479,0.902932202489685"	"0.797908815462405,0.167766744175192,0.0533738399990733,0.0497711602187792,0.683927045255775,0.404712144144644,0.0535637558950758,0.16705841961109,0.105049852972184,0.0595165596855024,-0.0315581853375348,-0.0333519627416587,0.217117032977151,0.629043873597923,0.0787268386515193,0.1489698811513,0.175222760670019,0.423274366399746,-0.0698230491248329,0.362114251391794,-0.000200173360243727,0.735867377303455,0.298239785904975,-0.0195852159529967,0.162530520370091,0.0905473155146185,0.129612881122252,0.298374290537816,0.412428653257729,0.265156587303028,0.443618658797052,0.537560179001785,0.0548339950072787,0.0662882641137354,0.156483486182566,0.380238257672945,0.071594733486937,0.0528303691808297,0.205971989435581,0.222264431391532"	"0.202091184537596,0.832233255824808,0.946626160000927,0.950228839781221,0.316072954744225,0.595287855855356,0.946436244104924,0.83294158038891,0.894950147027816,0.940483440314498,1.03155818533753,1.03335196274166,0.782882967022849,0.370956126402077,0.921273161348481,0.8510301188487,0.824777239329981,0.576725633600254,1.06982304912483,0.637885748608206,1.00020017336024,0.264132622696545,0.701760214095025,1.019585215953,0.837469479629909,0.909452684485381,0.870387118877748,0.701625709462184,0.587571346742271,0.734843412696972,0.556381341202948,0.462439820998215,0.945166004992721,0.933711735886265,0.843516513817434,0.619761742327055,0.928405266513063,0.94716963081917,0.794028010564419,0.777735568608468"	"TCGA-AC-A62V,TCGA-GM-A2DF,TCGA-B6-A0RL,TCGA-AR-A24R,TCGA-BH-A1EX,TCGA-AR-A251,TCGA-AR-A2LM,TCGA-A2-A0CR,TCGA-AR-A24S,TCGA-GM-A2DM,TCGA-BH-A0C3,TCGA-AC-A2FF,TCGA-AR-A2LJ,TCGA-EW-A1P8,TCGA-GM-A2DK,TCGA-BH-A1ES,TCGA-B6-A408,TCGA-BH-A1FN,TCGA-AR-A252,TCGA-BH-A1EW,TCGA-AO-A12E,TCGA-BH-A1EV,TCGA-AO-A1KR,TCGA-BH-A1F5,TCGA-AR-A24V,TCGA-HN-A2OB,TCGA-B6-A40C,TCGA-AR-A0TP,TCGA-D8-A1Y1,TCGA-BH-A1FR,TCGA-AC-A3EH,TCGA-E9-A2JS,TCGA-AO-A125,TCGA-A2-A25A,TCGA-AC-A2FE,TCGA-AR-A2LK,TCGA-A2-A1FX,TCGA-A2-A04R,TCGA-AR-A0TR,TCGA-BH-A1FJ"	"0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1"
"0.285909436833662,0.0860630768112396,0.106161449169718,0.284577004916003,0.159585192810688,0.195376693808692,0.223169824897781,0.122319040425315,0.315358922240207,0.0634193692906076,0.197780944364633,0.203486037583405,NaN,0.115631696291749,0.231923505970054,0.369089730144013,0.137759101419639,0.185418346505583,0.490004954618364,0.133870465872674,NaN,0.628611441455016,0.72589672624393,0.251511427696654,0.121697851030342,0.239725768571906,0.219626884043547,0.151979496940605,0.109305124909613,0.364394199083333,0.147294997242193,0.216739876557894,0.156578532993598,0.652931764518224"	"0.714090563166338,0.91393692318876,0.893838550830282,0.715422995083997,0.840414807189312,0.804623306191308,0.776830175102219,0.877680959574685,0.684641077759793,0.936580630709392,0.802219055635367,0.796513962416595,NaN,0.884368303708251,0.768076494029946,0.630910269855987,0.862240898580361,0.814581653494417,0.509995045381636,0.866129534127326,NaN,0.371388558544984,0.27410327375607,0.748488572303346,0.878302148969658,0.760274231428094,0.780373115956453,0.848020503059395,0.890694875090387,0.635605800916668,0.852705002757807,0.783260123442106,0.843421467006402,0.347068235481776"	"0.265837222332128,-0.0581823506271526,-0.0136981117763665,0.151982036671862,0.15780723512047,0.277466515485538,0.151096779550567,0.0669170538708227,0.354789373787437,0.00220494841900862,0.261682093239221,0.215546219639251,0.490881818296522,0.0562245052116369,0.164451248086899,0.724093470429451,0.0656577569676802,0.0578759503662672,0.454479779201955,0.113694179769732,0.522537180269235,0.788926429898502,1.24958813076039,0.495132255002254,0.167471152096381,0.187158205842868,0.343520044849312,0.176308385416916,0.00260158449200804,0.151077716456382,0.206226248357924,0.307284004167055,0.171070268316491,0.514744337681292"	"0.734162777667872,1.05818235062715,1.01369811177637,0.848017963328138,0.84219276487953,0.722533484514462,0.848903220449433,0.933082946129177,0.645210626212563,0.997795051580991,0.738317906760779,0.784453780360749,0.509118181703478,0.943775494788363,0.835548751913101,0.275906529570549,0.93434224303232,0.942124049633733,0.545520220798045,0.886305820230268,0.477462819730765,0.211073570101498,-0.249588130760392,0.504867744997746,0.832528847903619,0.812841794157132,0.656479955150688,0.823691614583084,0.997398415507992,0.848922283543618,0.793773751642076,0.692715995832945,0.828929731683509,0.485255662318708"	"TCGA-AR-A0U0,TCGA-AR-A2LE,TCGA-A2-A0CO,TCGA-E2-A1IO,TCGA-B6-A0RN,TCGA-AR-A24Z,TCGA-B6-A1KI,TCGA-BH-A0B5,TCGA-BH-A1F6,TCGA-AR-A24O,TCGA-BH-A0BT,TCGA-B6-A0X5,TCGA-BH-A1FD,TCGA-BH-A0BM,TCGA-AR-A0TW,TCGA-V7-A7HQ,TCGA-BH-A1FG,TCGA-A2-A0EN,TCGA-OL-A66K,TCGA-B6-A0RM,TCGA-BH-A1F8,TCGA-BH-A1EY,TCGA-AC-A2QJ,TCGA-AR-A2LH,TCGA-B6-A0RI,TCGA-AR-A24U,TCGA-Z7-A8R6,TCGA-A2-A0CT,TCGA-AO-A1KP,TCGA-BH-A1FC,TCGA-E2-A106,TCGA-AR-A0TX,TCGA-B6-A0X7,TCGA-B6-A1KF"	"1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1"
"0.187565572726782,NaN,0.398108178585694,NaN,0.256113863343169,0.529081503391163,0.200297794714657,NaN,0.440811002604911,NaN,NaN,0.50843842295253,0.161115594095721,0.305112583444629,NaN,0.255416324318496,0.214214829129705,0.0856598231529935,NaN,0.118007985749964,0.257148328530946,0.0852634513254229,NaN,0.0937013805088161,0.0216415308904161,0.239553813169651,NaN,0.111804035508464,0.154096325359573,0.236573437360685,0.215833829223831,0.130316933940845,0.0996951598686008,0.0515191473045242,0.481268851213772,0.0993138831799429,0.219466515769226,0.507849690032732,0.113206935451986"	"0.812434427273218,NaN,0.601891821414306,NaN,0.743886136656831,0.470918496608837,0.799702205285343,NaN,0.559188997395089,NaN,NaN,0.49156157704747,0.838884405904279,0.694887416555371,NaN,0.744583675681504,0.785785170870295,0.914340176847007,NaN,0.881992014250036,0.742851671469053,0.914736548674577,NaN,0.906298619491184,0.978358469109584,0.760446186830349,NaN,0.888195964491536,0.845903674640427,0.763426562639315,0.784166170776169,0.869683066059155,0.900304840131399,0.948480852695476,0.518731148786228,0.900686116820057,0.780533484230774,0.492150309967268,0.886793064548014"	"0.269729105842561,0.292108845873626,0.414012262015419,1.00665131820354,0.323444081229078,0.664205662213432,0.398779874034187,0.664064808116682,0.453803415832221,0.256696187221688,-0.0319642036764942,0.434594039918837,0.110404797803298,0.32445338510239,0.832991390152492,0.429264363150342,0.24933945491361,0.0105097701627507,0.435575449422266,0.0714235830839104,0.232200326430925,0.0849515717732616,0.443607699380594,0.0951724581032282,0.0928579568325235,0.281101258032883,0.261588838851766,0.102159016886572,0.214918271055183,0.182629236091227,0.127756859653722,0.145922795294135,0.114494088727627,-0.00911485616686459,0.71337096706903,-0.0120082075363579,0.187057515363615,0.944640001573183,0.13045394482129"	"0.730270894157439,0.707891154126374,0.585987737984581,-0.00665131820353708,0.676555918770922,0.335794337786568,0.601220125965813,0.335935191883317,0.546196584167779,0.743303812778311,1.03196420367649,0.565405960081163,0.889595202196702,0.67554661489761,0.167008609847508,0.570735636849658,0.75066054508639,0.989490229837249,0.564424550577734,0.928576416916089,0.767799673569075,0.915048428226738,0.556392300619406,0.904827541896772,0.907142043167476,0.718898741967117,0.738411161148234,0.897840983113428,0.785081728944817,0.817370763908773,0.872243140346277,0.854077204705865,0.885505911272373,1.00911485616686,0.28662903293097,1.01200820753636,0.812942484636385,0.0553599984268171,0.86954605517871"	"TCGA-E2-A1L7,TCGA-E2-A1B4,TCGA-B6-A1KN,TCGA-B6-A0IK,TCGA-D8-A1XC,TCGA-E2-A1LB,TCGA-B6-A0RU,TCGA-E9-A226,TCGA-B6-A402,TCGA-BH-A1FM,TCGA-AC-A2FK,TCGA-3C-AALI,TCGA-GM-A3NW,TCGA-AO-A0JM,TCGA-UU-A93S,TCGA-BH-A0BZ,TCGA-AR-A0U3,TCGA-AR-A1AL,TCGA-LL-A73Z,TCGA-GM-A3XN,TCGA-BH-A1EO,TCGA-B6-A0RV,TCGA-C8-A3M7,TCGA-BH-A0DV,TCGA-AO-A126,TCGA-AO-A124,TCGA-BH-A8FY,TCGA-AR-A1AU,TCGA-AR-A1AO,TCGA-AO-A12B,TCGA-AR-A1AQ,TCGA-BH-A0B6,TCGA-AO-A0JF,TCGA-AC-A2FO,TCGA-BH-A1FU,TCGA-AR-A0TZ,TCGA-GM-A2DL,TCGA-AR-A5QQ,TCGA-AR-A24X"	"1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1"
"NaN,0.146251774098415,NaN,0.143789016434357,NaN,0.115863550136403,0.525386127713446,0.122353606488648,0.176654269747387,0.344904713486672,NaN,0.348530060366093,0.247638676204751,0.177256520089581,0.363514081423756,0.0374623138602488,NaN,0.0399754481011624,0.290750431341109,0.16611312837361,NaN,0.103011198452045,0.1020602797374,NaN,0.104207434455036,0.467349448472287,-0.0100797039117472,0.26328674958542,NaN,0.0821099385407822,NaN,0.392432610013336,NaN,0.214398962195181,NaN,0.44825016312986,0.116729734249392,0.128608910233002,NaN"	"NaN,0.853748225901585,NaN,0.856210983565643,NaN,0.884136449863597,0.474613872286554,0.877646393511352,0.823345730252613,0.655095286513328,NaN,0.651469939633906,0.752361323795249,0.822743479910419,0.636485918576244,0.962537686139751,NaN,0.960024551898838,0.709249568658891,0.83388687162639,NaN,0.896988801547955,0.897939720262599,NaN,0.895792565544964,0.532650551527713,1.01007970391175,0.73671325041458,NaN,0.917890061459218,NaN,0.607567389986663,NaN,0.785601037804819,NaN,0.55174983687014,0.883270265750608,0.871391089766998,NaN"	"0.70984974101115,0.0588071533091417,0.846323743670347,0.165225632229405,1.32338170095844,0.0427482030109107,0.555047189346342,0.0689442430517972,0.0808451727022152,0.251067209919618,1.10602591131517,0.480805068500901,0.192777242974381,0.127574159270296,0.485360542381302,0.0622418802697528,0.52700424951023,-0.0127546674186048,0.278326358780964,0.17909304950221,0.106358662887696,-0.142385720981648,0.143618093665016,0.445962366940577,0.14688585948443,0.692669595629471,-0.139274046604026,0.240877052856498,0.526604000409403,0.103308386591961,0.514353276586383,0.315477185978234,0.585578920393835,0.282136890666185,0.99943622938988,0.453642934298123,0.07082124447428,0.189454330128394,0.442871766371845"	"0.29015025898885,0.941192846690858,0.153676256329653,0.834774367770595,-0.323381700958436,0.957251796989089,0.444952810653658,0.931055756948203,0.919154827297785,0.748932790080382,-0.106025911315166,0.519194931499099,0.807222757025619,0.872425840729704,0.514639457618698,0.937758119730247,0.47299575048977,1.0127546674186,0.721673641219036,0.82090695049779,0.893641337112304,1.14238572098165,0.856381906334984,0.554037633059423,0.85311414051557,0.307330404370528,1.13927404660403,0.759122947143502,0.473395999590596,0.896691613408039,0.485646723413617,0.684522814021766,0.414421079606165,0.717863109333814,0.000563770610119729,0.546357065701876,0.92917875552572,0.810545669871605,0.557128233628155"	"TCGA-A2-A0SV,TCGA-AC-A2BM,TCGA-E2-A1LK,TCGA-AR-A1AN,TCGA-AC-A23H,TCGA-GM-A2DN,TCGA-B6-A0I1,TCGA-BH-A1FE,TCGA-AR-A2LL,TCGA-AR-A5QM,TCGA-A2-A3XU,TCGA-GM-A2DB,TCGA-AR-A250,TCGA-GM-A2DC,TCGA-GM-A2DH,TCGA-A2-A0CK,TCGA-B6-A0WX,TCGA-B6-A0RT,TCGA-Z7-A8R5,TCGA-AR-A0U4,TCGA-BH-A1EU,TCGA-AR-A1AW,TCGA-AR-A0TQ,TCGA-A2-A0YT,TCGA-BH-A0BS,TCGA-A2-A3XX,TCGA-GM-A2DO,TCGA-AR-A24H,TCGA-BH-A42T,TCGA-E2-A1IE,TCGA-BH-A208,TCGA-AR-A1AP,TCGA-E9-A1RB,TCGA-BH-A42U,TCGA-BH-A203,TCGA-B6-A0WW,TCGA-E2-A1L8,TCGA-AR-A1AM,TCGA-E2-A2P5"	"0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0"
