sample_old	sample_id
TCGA-5L-AAT0-01A-12D-A41E-01	TCGA-5L-AAT0
TCGA-E9-A54X-01A-11D-A25N-01	TCGA-E9-A54X
TCGA-A7-A26E-01A-11D-A275-01	TCGA-A7-A26E
TCGA-A2-A0SX-01A-12D-A087-01	TCGA-A2-A0SX
TCGA-EW-A3U0-01A-11D-A227-01	TCGA-EW-A3U0
TCGA-AR-A24K-01A-11D-A166-01	TCGA-AR-A24K
TCGA-LL-A8F5-01A-11D-A36I-01	TCGA-LL-A8F5
TCGA-B6-A3ZX-01A-11D-A238-01	TCGA-B6-A3ZX
TCGA-E9-A228-01A-31D-A160-01	TCGA-E9-A228
TCGA-E2-A1II-01A-11D-A141-01	TCGA-E2-A1II
TCGA-E2-A576-01A-11D-A31T-01	TCGA-E2-A576
TCGA-AR-A24L-01A-11D-A166-01	TCGA-AR-A24L
TCGA-C8-A26X-01A-31D-A16C-01	TCGA-C8-A26X
TCGA-A1-A0SB-01A-11D-A141-01	TCGA-A1-A0SB
TCGA-A2-A4RW-01A-21D-A25N-01	TCGA-A2-A4RW
TCGA-A1-A0SI-01A-11D-A141-01	TCGA-A1-A0SI
TCGA-B6-A0WZ-01A-11D-A107-01	TCGA-B6-A0WZ
TCGA-B6-A0X4-01A-11D-A107-01	TCGA-B6-A0X4
TCGA-AR-A1AN-01A-11D-A12N-01	TCGA-AR-A1AN
TCGA-D8-A1Y0-01A-11D-A14J-01	TCGA-D8-A1Y0
TCGA-B6-A0RO-01A-22D-A087-01	TCGA-B6-A0RO
TCGA-A2-A0EU-01A-22D-A059-01	TCGA-A2-A0EU
TCGA-LL-A6FR-01A-12D-A31T-01	TCGA-LL-A6FR
TCGA-A7-A26J-01A-11D-A275-01	TCGA-A7-A26J
TCGA-D8-A73X-01A-11D-A32H-01	TCGA-D8-A73X
TCGA-C8-A26Y-01A-11D-A16C-01	TCGA-C8-A26Y
TCGA-EW-A1J3-01A-11D-A13J-01	TCGA-EW-A1J3
TCGA-AR-A1AK-01A-21D-A12N-01	TCGA-AR-A1AK
TCGA-AR-A0U0-01A-11D-A107-01	TCGA-AR-A0U0
TCGA-BH-A0B8-01A-21D-A059-01	TCGA-BH-A0B8
TCGA-AC-A23H-01A-11D-A160-01	TCGA-AC-A23H
TCGA-E9-A1N6-01A-11D-A141-01	TCGA-E9-A1N6
TCGA-AR-A0TQ-01A-11D-A087-01	TCGA-AR-A0TQ
TCGA-AN-A0XL-01A-11D-A10L-01	TCGA-AN-A0XL
TCGA-AO-A12C-01A-11D-A10L-01	TCGA-AO-A12C
TCGA-AC-A5EH-01A-11D-A28A-01	TCGA-AC-A5EH
TCGA-AR-A24O-01A-11D-A166-01	TCGA-AR-A24O
TCGA-BH-A1EW-01A-11D-A134-01	TCGA-BH-A1EW
TCGA-A1-A0SM-01A-11D-A087-01	TCGA-A1-A0SM
TCGA-AO-A129-01A-21D-A10L-01	TCGA-AO-A129
TCGA-BH-A6R9-01A-21D-A32H-01	TCGA-BH-A6R9
TCGA-A7-A4SB-01A-21D-A25N-01	TCGA-A7-A4SB
TCGA-AC-A4ZE-01A-11D-A41E-01	TCGA-AC-A4ZE
TCGA-E9-A54Y-01A-11D-A25N-01	TCGA-E9-A54Y
TCGA-E9-A1N4-01A-11D-A14J-01	TCGA-E9-A1N4
TCGA-GM-A3NY-01A-11D-A21P-01	TCGA-GM-A3NY
TCGA-BH-A0W3-01A-11D-A107-01	TCGA-BH-A0W3
TCGA-B6-A409-01A-11D-A242-01	TCGA-B6-A409
TCGA-E9-A2JT-01A-22D-A18N-01	TCGA-E9-A2JT
TCGA-A2-A3Y0-01A-11D-A238-01	TCGA-A2-A3Y0
TCGA-AC-A6IX-01A-12D-A32H-01	TCGA-AC-A6IX
TCGA-E9-A1R6-01A-11D-A14F-01	TCGA-E9-A1R6
TCGA-AO-A1KQ-01A-11D-A13J-01	TCGA-AO-A1KQ
TCGA-E9-A1RD-01A-11D-A160-01	TCGA-E9-A1RD
TCGA-D8-A1XL-01A-11D-A14J-01	TCGA-D8-A1XL
TCGA-E9-A1RC-01A-11D-A160-01	TCGA-E9-A1RC
TCGA-AO-A0JB-01A-11D-A059-01	TCGA-AO-A0JB
TCGA-AC-A3HN-01A-11D-A20R-01	TCGA-AC-A3HN
TCGA-EW-A1J5-01A-11D-A13J-01	TCGA-EW-A1J5
TCGA-A7-A13E-01A-11D-A12N-01	TCGA-A7-A13E
TCGA-A2-A1G4-01A-11D-A13J-01	TCGA-A2-A1G4
TCGA-D8-A1JA-01A-11D-A13J-01	TCGA-D8-A1JA
TCGA-B6-A0IK-01A-12D-A059-01	TCGA-B6-A0IK
TCGA-BH-A0H0-01A-11D-A059-01	TCGA-BH-A0H0
TCGA-A2-A0T2-01A-11D-A087-01	TCGA-A2-A0T2
TCGA-E2-A1LH-01A-11D-A14F-01	TCGA-E2-A1LH
TCGA-D8-A1XJ-01A-11D-A14J-01	TCGA-D8-A1XJ
TCGA-AR-A0U2-01A-11D-A107-01	TCGA-AR-A0U2
TCGA-GM-A2DD-01A-11D-A17U-01	TCGA-GM-A2DD
TCGA-B6-A0WX-01A-11D-A107-01	TCGA-B6-A0WX
TCGA-E2-A1IL-01A-11D-A14F-01	TCGA-E2-A1IL
TCGA-E2-A1B5-01A-21D-A12N-01	TCGA-E2-A1B5
TCGA-AR-A0TT-01A-31D-A087-01	TCGA-AR-A0TT
TCGA-GI-A2C8-01A-11D-A16C-01	TCGA-GI-A2C8
TCGA-GM-A2DN-01A-11D-A17U-01	TCGA-GM-A2DN
TCGA-C8-A1HG-01A-11D-A134-01	TCGA-C8-A1HG
TCGA-D8-A27R-01A-11D-A16C-01	TCGA-D8-A27R
TCGA-BH-A0DK-01A-21D-A059-01	TCGA-BH-A0DK
TCGA-D8-A1JF-01A-11D-A13J-01	TCGA-D8-A1JF
TCGA-AC-A2FB-01A-11D-A17C-01	TCGA-AC-A2FB
TCGA-S3-AA0Z-01A-11D-A41E-01	TCGA-S3-AA0Z
TCGA-AN-A0XO-01A-11D-A107-01	TCGA-AN-A0XO
TCGA-AC-A8OQ-01A-11D-A41E-01	TCGA-AC-A8OQ
TCGA-PL-A8LV-01A-21D-A41E-01	TCGA-PL-A8LV
TCGA-A7-A0D9-01A-31D-A059-01	TCGA-A7-A0D9
TCGA-AR-A24P-01A-11D-A166-01	TCGA-AR-A24P
TCGA-AR-A2LE-01A-11D-A17U-01	TCGA-AR-A2LE
TCGA-E2-A56Z-01A-12D-A29M-01	TCGA-E2-A56Z
TCGA-A7-A3IZ-01A-11D-A20R-01	TCGA-A7-A3IZ
TCGA-A2-A3XU-01A-12D-A22W-01	TCGA-A2-A3XU
TCGA-C8-A8HP-01A-11D-A36I-01	TCGA-C8-A8HP
TCGA-GM-A2DH-01A-11D-A17U-01	TCGA-GM-A2DH
TCGA-E2-A1IO-01A-11D-A141-01	TCGA-E2-A1IO
TCGA-B6-A0WY-01A-11D-A107-01	TCGA-B6-A0WY
TCGA-E2-A14N-01A-31D-A134-01	TCGA-E2-A14N
TCGA-BH-A0E2-01A-11D-A059-01	TCGA-BH-A0E2
TCGA-BH-A28Q-01A-11D-A16C-01	TCGA-BH-A28Q
TCGA-BH-A1EY-01A-11D-A13J-01	TCGA-BH-A1EY
TCGA-AO-A1KP-01A-11D-A13J-01	TCGA-AO-A1KP
TCGA-AR-A24W-01A-11D-A166-01	TCGA-AR-A24W
TCGA-A2-A0YE-01A-11D-A107-01	TCGA-A2-A0YE
TCGA-E9-A1NE-01A-21D-A14J-01	TCGA-E9-A1NE
TCGA-AR-A2LJ-01A-12D-A19X-01	TCGA-AR-A2LJ
TCGA-A2-A1FZ-01A-51D-A14F-01	TCGA-A2-A1FZ
TCGA-AC-A2BM-01A-11D-A21P-01	TCGA-AC-A2BM
TCGA-E9-A1R0-01A-22D-A16C-01	TCGA-E9-A1R0
TCGA-AC-A3EH-01A-22D-A227-01	TCGA-AC-A3EH
TCGA-E2-A107-01A-11D-A10L-01	TCGA-E2-A107
TCGA-BH-A18V-01A-11D-A12A-01	TCGA-BH-A18V
TCGA-AC-A62X-01A-11D-A29M-01	TCGA-AC-A62X
TCGA-D8-A1JS-01A-11D-A13J-01	TCGA-D8-A1JS
TCGA-A7-A6VX-01A-12D-A33D-01	TCGA-A7-A6VX
TCGA-EW-A1PB-01A-11D-A141-01	TCGA-EW-A1PB
TCGA-E2-A10E-01A-21D-A10L-01	TCGA-E2-A10E
TCGA-BH-A1F2-01A-31D-A13J-01	TCGA-BH-A1F2
TCGA-EW-A1PG-01A-11D-A141-01	TCGA-EW-A1PG
TCGA-AR-A1AS-01A-11D-A12N-01	TCGA-AR-A1AS
TCGA-A2-A25B-01A-11D-A166-01	TCGA-A2-A25B
TCGA-E9-A1NI-01A-11D-A14F-01	TCGA-E9-A1NI
TCGA-EW-A1J1-01A-11D-A13J-01	TCGA-EW-A1J1
TCGA-E9-A1RE-01A-11D-A160-01	TCGA-E9-A1RE
TCGA-Z7-A8R5-01A-42D-A41E-01	TCGA-Z7-A8R5
TCGA-C8-A3M8-01A-11D-A20R-01	TCGA-C8-A3M8
TCGA-D8-A1JI-01A-11D-A13J-01	TCGA-D8-A1JI
TCGA-V7-A7HQ-01A-11D-A33D-01	TCGA-V7-A7HQ
TCGA-D8-A73U-01A-11D-A33D-01	TCGA-D8-A73U
TCGA-A2-A1FW-01A-11D-A13J-01	TCGA-A2-A1FW
TCGA-AC-A3W7-01A-11D-A227-01	TCGA-AC-A3W7
TCGA-BH-A0DP-01A-21D-A059-01	TCGA-BH-A0DP
TCGA-BH-A0BF-01A-21D-A12N-01	TCGA-BH-A0BF
TCGA-E9-A1N9-01A-11D-A14F-01	TCGA-E9-A1N9
TCGA-BH-A0AU-01A-11D-A12N-01	TCGA-BH-A0AU
TCGA-D8-A1X6-01A-11D-A14J-01	TCGA-D8-A1X6
TCGA-BH-A0H7-01A-13D-A059-01	TCGA-BH-A0H7
TCGA-E9-A1RH-01A-21D-A166-01	TCGA-E9-A1RH
TCGA-LL-A73Z-01A-11D-A32H-01	TCGA-LL-A73Z
TCGA-D8-A1XS-01A-11D-A14J-01	TCGA-D8-A1XS
TCGA-A2-A0T5-01A-21D-A087-01	TCGA-A2-A0T5
TCGA-EW-A6S9-01A-22D-A33D-01	TCGA-EW-A6S9
TCGA-C8-A1HF-01A-11D-A134-01	TCGA-C8-A1HF
TCGA-OL-A5RX-01A-11D-A28A-01	TCGA-OL-A5RX
TCGA-OL-A5RY-01A-21D-A28A-01	TCGA-OL-A5RY
TCGA-A1-A0SH-01A-11D-A087-01	TCGA-A1-A0SH
TCGA-PE-A5DC-01A-12D-A27O-01	TCGA-PE-A5DC
TCGA-E2-A15K-01A-11D-A12N-01	TCGA-E2-A15K
TCGA-E9-A1RA-01A-11D-A14F-01	TCGA-E9-A1RA
TCGA-GM-A3XN-01A-12D-A22W-01	TCGA-GM-A3XN
TCGA-AC-A5XU-01A-11D-A28A-01	TCGA-AC-A5XU
TCGA-AR-A1AV-01A-21D-A12N-01	TCGA-AR-A1AV
TCGA-AC-A3TN-01A-11D-A227-01	TCGA-AC-A3TN
TCGA-EW-A1P0-01A-11D-A141-01	TCGA-EW-A1P0
TCGA-D8-A1Y2-01A-11D-A160-01	TCGA-D8-A1Y2
TCGA-D8-A27T-01A-11D-A16C-01	TCGA-D8-A27T
TCGA-A1-A0SO-01A-22D-A087-01	TCGA-A1-A0SO
TCGA-D8-A73W-01A-22D-A350-01	TCGA-D8-A73W
TCGA-BH-A0BS-01A-11D-A12N-01	TCGA-BH-A0BS
TCGA-B6-A0RL-01A-11D-A087-01	TCGA-B6-A0RL
TCGA-BH-A8FZ-01A-11D-A350-01	TCGA-BH-A8FZ
TCGA-LL-A73Y-01A-11D-A33D-01	TCGA-LL-A73Y
TCGA-E2-A1IF-01A-11D-A141-01	TCGA-E2-A1IF
TCGA-BH-A0DI-01A-21D-A12N-01	TCGA-BH-A0DI
TCGA-AR-A0U4-01A-11D-A107-01	TCGA-AR-A0U4
TCGA-BH-A0DD-01A-31D-A12N-01	TCGA-BH-A0DD
TCGA-B6-A0X1-01A-11D-A107-01	TCGA-B6-A0X1
TCGA-AC-A2BK-01A-11D-A21P-01	TCGA-AC-A2BK
TCGA-AO-A0JE-01A-11D-A059-01	TCGA-AO-A0JE
TCGA-OL-A66L-01A-12D-A31T-01	TCGA-OL-A66L
TCGA-A7-A2KD-01A-31D-A21P-01	TCGA-A7-A2KD
TCGA-BH-A1F0-01A-11D-A134-01	TCGA-BH-A1F0
TCGA-A2-A0EP-01A-52D-A22W-01	TCGA-A2-A0EP
TCGA-AR-A254-01A-21D-A166-01	TCGA-AR-A254
TCGA-OL-A5D7-01A-11D-A27O-01	TCGA-OL-A5D7
TCGA-EW-A1IY-01A-11D-A13J-01	TCGA-EW-A1IY
TCGA-BH-A0HK-01A-11D-A059-01	TCGA-BH-A0HK
TCGA-B6-A0I1-01A-11D-A21P-01	TCGA-B6-A0I1
TCGA-EW-A6SD-01A-12D-A33D-01	TCGA-EW-A6SD
TCGA-E2-A1L6-01A-11D-A13J-01	TCGA-E2-A1L6
TCGA-A7-A13D-01A-13D-A12N-01	TCGA-A7-A13D
TCGA-AO-A0JG-01A-31D-A087-01	TCGA-AO-A0JG
TCGA-A2-A259-01A-11D-A16C-01	TCGA-A2-A259
TCGA-E9-A3QA-01A-61D-A227-01	TCGA-E9-A3QA
TCGA-OK-A5Q2-01A-11D-A27O-01	TCGA-OK-A5Q2
TCGA-LL-A740-01A-21D-A32H-01	TCGA-LL-A740
TCGA-BH-A1FE-01A-11D-A13J-01	TCGA-BH-A1FE
TCGA-AC-A2QJ-01A-12D-A19X-01	TCGA-AC-A2QJ
TCGA-AC-A2FK-01A-12D-A17U-01	TCGA-AC-A2FK
