sample_old	sample_id
TCGA-EW-A1J3-01A-11R-A13Q-07	TCGA-EW-A1J3
TCGA-A7-A5ZX-01A-12R-A29R-07	TCGA-A7-A5ZX
TCGA-EW-A423-01A-11R-A24H-07	TCGA-EW-A423
TCGA-A2-A25E-01A-11R-A169-07	TCGA-A2-A25E
TCGA-C8-A26Y-01A-11R-A16F-07	TCGA-C8-A26Y
TCGA-OL-A66H-01A-11R-A29R-07	TCGA-OL-A66H
TCGA-BH-A0WA-01A-11R-A109-07	TCGA-BH-A0WA
TCGA-BH-A1EX-01A-11R-A13Q-07	TCGA-BH-A1EX
TCGA-BH-A0GY-01A-11R-A056-07	TCGA-BH-A0GY
TCGA-AR-A1AN-01A-11R-A12P-07	TCGA-AR-A1AN
TCGA-AC-A23H-01A-11R-A157-07	TCGA-AC-A23H
TCGA-OL-A5RZ-01A-11R-A28M-07	TCGA-OL-A5RZ
TCGA-E9-A1RC-01A-11R-A157-07	TCGA-E9-A1RC
TCGA-GM-A2DN-01A-11R-A180-07	TCGA-GM-A2DN
TCGA-B6-A0I1-01A-11R-A21T-07	TCGA-B6-A0I1
TCGA-EW-A1IW-01A-11R-A13Q-07	TCGA-EW-A1IW
TCGA-BH-A42V-01A-11R-A24H-07	TCGA-BH-A42V
TCGA-AR-A251-01A-12R-A169-07	TCGA-AR-A251
TCGA-AC-A8OP-01A-11R-A36F-07	TCGA-AC-A8OP
TCGA-D8-A1XU-01A-11R-A14M-07	TCGA-D8-A1XU
TCGA-B6-A0IK-01A-12R-A056-07	TCGA-B6-A0IK
TCGA-D8-A27R-01A-11R-A16F-07	TCGA-D8-A27R
TCGA-E9-A22G-01A-11R-A157-07	TCGA-E9-A22G
TCGA-E2-A1LE-01A-12R-A19W-07	TCGA-E2-A1LE
TCGA-3C-AAAU-01A-11R-A41B-07	TCGA-3C-AAAU
TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A1IG
TCGA-LL-A9Q3-01A-11R-A41B-07	TCGA-LL-A9Q3
TCGA-AR-A2LM-01A-11R-A180-07	TCGA-AR-A2LM
TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0HA
TCGA-AR-A24T-01A-11R-A169-07	TCGA-AR-A24T
TCGA-D8-A1JP-01A-11R-A13Q-07	TCGA-D8-A1JP
TCGA-PE-A5DC-01A-12R-A27Q-07	TCGA-PE-A5DC
TCGA-BH-A0DI-01A-21R-A12P-07	TCGA-BH-A0DI
TCGA-D8-A1XL-01A-11R-A14M-07	TCGA-D8-A1XL
TCGA-S3-AA11-01A-31R-A41B-07	TCGA-S3-AA11
TCGA-AO-A0JJ-01A-11R-A056-07	TCGA-AO-A0JJ
TCGA-B6-A1KI-01A-11R-A14M-07	TCGA-B6-A1KI
TCGA-A1-A0SB-01A-11R-A144-07	TCGA-A1-A0SB
TCGA-3C-AALJ-01A-31R-A41B-07	TCGA-3C-AALJ
TCGA-A2-A0CR-01A-11R-A22K-07	TCGA-A2-A0CR
TCGA-BH-A1FE-01A-11R-A13Q-07	TCGA-BH-A1FE
TCGA-A2-A3XT-01A-11R-A22U-07	TCGA-A2-A3XT
TCGA-D8-A1Y2-01A-11R-A157-07	TCGA-D8-A1Y2
TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-BH-A1FB
TCGA-E9-A5UP-01A-11R-A28M-07	TCGA-E9-A5UP
TCGA-A2-A1G0-01A-11R-A13Q-07	TCGA-A2-A1G0
TCGA-BH-A0H0-01A-11R-A056-07	TCGA-BH-A0H0
TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A0H9
TCGA-PL-A8LV-01A-21R-A41B-07	TCGA-PL-A8LV
TCGA-AO-A1KS-01A-11R-A13Q-07	TCGA-AO-A1KS
TCGA-BH-A0BF-01A-21R-A12P-07	TCGA-BH-A0BF
TCGA-AC-A62X-01A-11R-A29R-07	TCGA-AC-A62X
TCGA-E2-A1IJ-01A-11R-A144-07	TCGA-E2-A1IJ
TCGA-A1-A0SG-01A-11R-A144-07	TCGA-A1-A0SG
TCGA-D8-A1XC-01A-11R-A14D-07	TCGA-D8-A1XC
TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A0B5
TCGA-3C-AALK-01A-11R-A41B-07	TCGA-3C-AALK
TCGA-A2-A3KD-01A-12R-A213-07	TCGA-A2-A3KD
TCGA-C8-A1HK-01A-21R-A13Q-07	TCGA-C8-A1HK
TCGA-D8-A27I-01A-11R-A16F-07	TCGA-D8-A27I
TCGA-EW-A424-01A-11R-A24H-07	TCGA-EW-A424
TCGA-EW-A6S9-01A-22R-A33J-07	TCGA-EW-A6S9
TCGA-D8-A1X6-01A-11R-A14M-07	TCGA-D8-A1X6
TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-BH-A1F6
TCGA-EW-A1J5-01A-11R-A13Q-07	TCGA-EW-A1J5
TCGA-EW-A1IX-01A-12R-A144-07	TCGA-EW-A1IX
