sample_id	predict_score_0	predict_score_1	predict_score_2	predict_score_3	predict_score_4	predict_score_5
CRC-2277930	0.0003648000711109489	0.764923632144928	0.00037392895319499075	0.0002579936117399484	0.23359526693820953	0.00048441850231029093
CRC-2388859	0.00018882133008446544	0.9886188507080078	9.05770793906413e-05	0.0001413615682395175	0.010633585043251514	0.00032686159829609096
CRC-2389477	5.377650040827575e-07	0.9999535083770752	4.748985560354413e-08	2.423409171115054e-07	4.5018463424639776e-05	6.314293727882614e-07
CRC-2390804	1.6838436422972336e-08	0.9999974966049194	8.464326461954386e-10	7.77341302438117e-09	2.3938548565638484e-06	9.01264485264619e-08
CRC-2392315	0.9999746084213257	3.421512474233168e-06	1.8698842723097187e-06	1.1000774065905716e-05	6.308910542429658e-06	2.769578259176342e-06
CRC-2393807	0.0082228509709239	0.0549483522772789	0.01983543112874031	0.3966447412967682	0.5165174603462219	0.0038311718963086605
CRC-2397180	0.0005308004328981042	0.21101459860801697	0.0008807308040559292	0.0007255258387885988	0.7865964770317078	0.0002518750843591988
CRC-2405108	6.739362288499251e-05	0.010521155782043934	4.947698471369222e-05	1.9581975720939226e-05	0.0035161091946065426	0.9858261942863464
CRC-2405110	0.001368578290566802	0.8840129971504211	0.00041202030843123794	0.0001832466950872913	0.10324466973543167	0.010778461582958698
CRC-2406395	0.004572527948766947	0.2725653052330017	0.00601900415495038	0.0021455332171171904	0.6954836845397949	0.019213920459151268
CRC-2408549	0.0011079314863309264	0.6605048179626465	0.0009970965329557657	0.00041746420902200043	0.18066933751106262	0.15630334615707397
CRC-2409545	0.0363382063806057	0.08000142127275467	0.021923761814832687	0.0047015901654958725	0.5443145632743835	0.31272047758102417
CRC-2411548	1.7021513485815376e-05	0.9932951331138611	6.609061074414058e-06	4.296318365959451e-06	0.006419265177100897	0.00025768831255845726
CRC-2411883	3.487272579150158e-06	3.1552404834656045e-05	8.526981218892615e-06	4.127371994400164e-06	2.3373879230348393e-05	0.9999288320541382
CRC-2412064	0.00015526372590102255	0.0002059770340565592	0.00010147225839318708	4.559728768072091e-05	0.00016627433069515973	0.9993253946304321
CRC-2412287	0.0019872148986905813	0.019184021279215813	0.0054293847642838955	0.0010529664577916265	0.179398313164711	0.7929481267929077
CRC-2418277	8.575636456953362e-06	2.7954580218647607e-05	2.8267622838029638e-05	3.301782999187708e-05	3.415825267438777e-05	0.9998679161071777
CRC-2418503	4.137644538104723e-08	1.2594096006068867e-06	3.298920034922048e-07	3.670712089842709e-07	8.527298973604047e-07	0.9999971389770508
HCC-ShHW-225484	0.11930683255195618	0.13347488641738892	0.12851035594940186	0.364330530166626	0.11464732140302658	0.1397300660610199
HCC_ChQ-8002011290	1.1116485438833479e-06	5.410743597167311e-06	5.503069928636251e-07	0.99997878074646	1.2181826605228707e-05	1.9344608972460264e-06
HCC_ShH-214851	0.002785278484225273	0.00023074049386195838	0.0006176932365633547	0.9937617182731628	0.0018844015430659056	0.0007201552507467568
HCC_ShH-216260	3.4022772155140046e-08	5.4343455957450715e-08	2.582180691490521e-09	0.9999998807907104	3.361228806397776e-08	1.255524684218301e-09
HCC_ShH-216386	3.149290932924487e-05	3.4988649986189557e-06	1.3528155022868305e-06	0.9999544620513916	8.97136123967357e-06	2.1670680894203542e-07
HCC_ShH-216390	0.00020886791753582656	0.00017994073277805	0.0003225176769774407	0.9964726567268372	0.0025418628938496113	0.00027408526511862874
HCC_ShH-216450	5.93494178247056e-07	8.3860999211538e-07	6.85907792785656e-08	0.9999979734420776	4.823826884603477e-07	3.894908928714358e-08
HCC_ShH-216540	0.999953031539917	9.83696509138099e-07	3.887269599545107e-07	4.237047687638551e-05	3.2308839763572905e-06	2.446777891407237e-08
HCC_ShH-216565	0.002723605837672949	0.0016148161375895143	0.004073659889400005	0.9456424713134766	0.021454663947224617	0.024490853771567345
HCC_ShHW-161444	3.266550763214582e-08	6.196185342588478e-09	1.9367095427380576e-10	1.0	2.1689052775997197e-09	4.086435356764895e-11
HCC_ShHW-225315	0.011797168292105198	0.09068772941827774	0.024587327614426613	0.6973365545272827	0.1282428503036499	0.04734839126467705
LUAD-2359570	0.006730169523507357	0.0035583553835749626	0.011499390937387943	0.6761671304702759	0.1526685357093811	0.14937640726566315
LUAD-2379275	0.0023765682708472013	0.06802293658256531	0.0046629831194877625	0.0022751479409635067	0.9200888276100159	0.0025735334493219852
LUAD-2382152	4.263447772245854e-05	0.9957668781280518	1.7364171071676537e-05	2.291497730766423e-05	0.0040184142999351025	0.00013177029904909432
LUAD-2382392	0.00016295946261379868	0.5241305232048035	0.00037252699257805943	6.757017399650067e-05	0.46951356530189514	0.005752964410930872
LUAD-2382462	3.425166369197541e-06	4.1759354644455016e-05	4.297148188925348e-05	8.46985712996684e-05	0.00016120230429805815	0.9996659755706787
LUAD-2386185	0.004130289424210787	0.027529984712600708	0.00670566875487566	0.14273789525032043	0.8181593418121338	0.0007369046215899289
NC_ChQ-35	1.0	1.1798913304744337e-19	5.3711729074037755e-21	6.895132079036233e-17	3.229657231466539e-20	4.131850523998482e-20
NC_HaiB-2	0.002465899335220456	0.9077475070953369	0.0004286907787900418	0.04157676175236702	0.04729599133133888	0.0004852146375924349
NC_PKU-2392860	0.9999957084655762	1.5613795767421834e-07	9.031177938823021e-08	3.576606331989751e-06	5.190734100324335e-07	1.6920859380320508e-08
NC_PKU-2408556	3.760286517717759e-06	5.939104812568985e-05	6.740783646819182e-06	4.2720544115582015e-06	2.0270188542781398e-05	0.9999055862426758
