"0.33117097892804,0.474270358250529,0.225341332773512,0.178291420194406,0.642010909794718,NaN,0.233462699958557,0.362837335931235,0.449424858918117,0.14140262840123,0.583952518557393,0.188259694476748,0.313890845026683,0.606925384578183,0.213429479053879,0.34727027841404,0.150457876155951,0.210590527796697,0.334704244617756,0.398000028977167,0.239650427025548,0.438083734170338,0.44564107261954,0.15617994552621,NaN,0.211393479634727,0.409759820419199,0.21665816039915,0.452570383228029,0.157446846666494,0.296129899702206,0.267089848739521,0.361640627844006,0.209178019602561,0.272828204513766,0.184962168117301,0.329378644576006,NaN,0.194988222200373"	"0.66882902107196,0.525729641749471,0.774658667226488,0.821708579805594,0.357989090205282,NaN,0.766537300041443,0.637162664068765,0.550575141081883,0.85859737159877,0.416047481442607,0.811740305523252,0.686109154973317,0.393074615421817,0.786570520946121,0.65272972158596,0.849542123844049,0.789409472203303,0.665295755382244,0.601999971022833,0.760349572974452,0.561916265829662,0.55435892738046,0.84382005447379,NaN,0.788606520365273,0.590240179580801,0.78334183960085,0.547429616771971,0.842553153333506,0.703870100297794,0.732910151260479,0.638359372155994,0.790821980397439,0.727171795486234,0.815037831882699,0.670621355423994,NaN,0.805011777799628"	"0.360045659746455,0.511468013633507,0.195039972151687,0.197936988143153,0.692956595098541,0.554392849270847,0.19613984147901,0.423358042417732,0.368131505772857,0.109245593253964,0.734243441507677,0.145522189437943,0.192020724939776,0.611084500133408,0.248607121816352,0.362604882530361,0.133228716183479,0.252079661159977,0.419384180845447,0.374115086913731,0.27326795336099,0.384410076847639,0.355756481022915,0.134254222651353,0.381300498292855,0.142809483388082,0.308712475880672,0.191665340078305,0.384268248236531,0.173230952038197,0.247687134726908,0.219415063948653,0.215655396349378,0.259467703416454,0.310578145730397,0.188181155546791,0.461765916016148,0.269567499170701,0.170779444863308"	"0.639954340253545,0.488531986366493,0.804960027848313,0.802063011856847,0.307043404901459,0.445607150729153,0.80386015852099,0.576641957582268,0.631868494227143,0.890754406746036,0.265756558492323,0.854477810562057,0.807979275060224,0.388915499866592,0.751392878183648,0.637395117469639,0.86677128381652,0.747920338840022,0.580615819154553,0.625884913086269,0.72673204663901,0.615589923152361,0.644243518977085,0.865745777348647,0.618699501707145,0.857190516611918,0.691287524119328,0.808334659921695,0.615731751763469,0.826769047961803,0.752312865273092,0.780584936051347,0.784344603650623,0.740532296583546,0.689421854269603,0.811818844453209,0.538234083983852,0.7304325008293,0.829220555136692"	"TCGA-E2-A1L7,TCGA-AR-A0U0,TCGA-B6-A0RN,TCGA-BH-A0DG,TCGA-B6-A0I1,TCGA-B6-A0IK,TCGA-E2-A1IG,TCGA-A2-A3XT,TCGA-AR-A2LL,TCGA-AR-A24O,TCGA-B6-A409,TCGA-BH-A1FH,TCGA-AR-A250,TCGA-B6-A402,TCGA-AR-A2LJ,TCGA-B6-A0WY,TCGA-AC-A2FK,TCGA-Z7-A8R5,TCGA-3C-AALI,TCGA-BH-A1FN,TCGA-AR-A0TQ,TCGA-E2-A1LI,TCGA-B6-A0RM,TCGA-AO-A12C,TCGA-LL-A73Z,TCGA-AO-A12E,TCGA-BH-A1EO,TCGA-B6-A0RI,TCGA-AO-A124,TCGA-OL-A66J,TCGA-AR-A1AU,TCGA-B6-A40C,TCGA-AO-A1KP,TCGA-AC-A2FE,TCGA-E2-A106,TCGA-PE-A5DD,TCGA-OL-A5D6,TCGA-AR-A0TR,TCGA-GM-A2DL"	"1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1"
"NaN,0.23423655265291,0.256260714317981,0.261893922472489,0.210899223648804,0.255812152749593,0.255190676390323,0.361850484300946,0.316891470061149,0.362639548318383,0.249536879515761,NaN,0.260003480045037,0.221454760098779,NaN,NaN,0.293925093145204,0.314126216167613,0.208486292726649,0.260251845966961,0.255692897328156,0.507701968356254,NaN,0.19270262346613,NaN,0.295405787463981,0.549674886599946,0.306683729129369,0.258749202435029,0.260447985809356,0.23256521109058,0.271060083066208,0.233128095219363,0.179824278573203,0.210252821674678,0.207372897803663,0.223571925191859,0.238979046429133,0.382708033741186,0.255022859631924,0.292585412065009"	"NaN,0.76576344734709,0.743739285682019,0.738106077527511,0.789100776351196,0.744187847250407,0.744809323609677,0.638149515699054,0.683108529938851,0.637360451681617,0.750463120484239,NaN,0.739996519954963,0.778545239901221,NaN,NaN,0.706074906854796,0.685873783832387,0.791513707273351,0.739748154033039,0.744307102671844,0.492298031643746,NaN,0.80729737653387,NaN,0.704594212536019,0.450325113400054,0.693316270870631,0.741250797564971,0.739552014190644,0.76743478890942,0.728939916933792,0.766871904780637,0.820175721426798,0.789747178325322,0.792627102196337,0.776428074808141,0.761020953570867,0.617291966258815,0.744977140368076,0.707414587934991"	"0.47923654612062,0.19681264759075,0.156515442829297,0.257698605705624,0.190819969645982,0.267536762617258,0.216110279276068,0.474949589315542,0.366488916586166,0.414692282689247,0.189214249578862,0.318050975456719,0.205474250018254,0.143873587632074,0.638504313686758,0.9123733285514,0.39788849530907,0.406636288120569,0.141289166569403,0.216464646418913,0.307890704095765,0.685305121463506,0.347838674984119,0.210982659871972,0.28648497603662,0.298513245163683,0.877301721849788,0.283405502334143,0.195016773726963,0.220118486209841,0.198435560878702,0.405668718730823,0.187176892289206,0.159540066154911,0.138085980188065,0.17029488358561,0.125435224970395,0.212505867793984,0.479604458957463,0.319049747679934,0.289082778498126"	"0.52076345387938,0.80318735240925,0.843484557170703,0.742301394294376,0.809180030354018,0.732463237382743,0.783889720723932,0.525050410684459,0.633511083413835,0.585307717310753,0.810785750421138,0.681949024543281,0.794525749981746,0.856126412367926,0.361495686313242,0.0876266714485999,0.60211150469093,0.593363711879431,0.858710833430597,0.783535353581087,0.692109295904235,0.314694878536494,0.652161325015881,0.789017340128028,0.71351502396338,0.701486754836317,0.122698278150212,0.716594497665857,0.804983226273037,0.779881513790159,0.801564439121298,0.594331281269177,0.812823107710794,0.840459933845089,0.861914019811935,0.82970511641439,0.874564775029605,0.787494132206016,0.520395541042537,0.680950252320066,0.710917221501874"	"TCGA-A2-A0SV,TCGA-A2-A0CO,TCGA-AC-A2BM,TCGA-AR-A24Z,TCGA-B6-A0RL,TCGA-A2-A0CR,TCGA-D8-A1XC,TCGA-E2-A1LB,TCGA-GM-A2DB,TCGA-AR-A1AJ,TCGA-AR-A0TT,TCGA-BH-A1FD,TCGA-AC-A2FG,TCGA-AC-A2FF,TCGA-B6-A0WX,TCGA-A1-A0SK,TCGA-AR-A0U4,TCGA-V7-A7HQ,TCGA-AR-A24L,TCGA-AR-A1AV,TCGA-BH-A0BZ,TCGA-A2-A3XX,TCGA-E9-A1NF,TCGA-AR-A0U3,TCGA-BH-A1F8,TCGA-AR-A24H,TCGA-AC-A2QJ,TCGA-AR-A24U,TCGA-AR-A24V,TCGA-HN-A2OB,TCGA-PE-A5DE,TCGA-AR-A0TP,TCGA-AR-A1AK,TCGA-A2-A0CT,TCGA-B6-A2IU,TCGA-AO-A125,TCGA-GM-A2DA,TCGA-AO-A0JF,TCGA-AO-A129,TCGA-BH-A1FJ,TCGA-AC-A23G"	"0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
"NaN,0.177067234674783,0.121047182415951,0.376016527830142,0.227855776636097,0.137808296340799,0.223462774123626,0.3599073486198,0.141945956120958,0.146144493330497,0.172943625407121,0.401571228669082,0.266722208062414,0.256110261412603,0.284450670571315,NaN,0.172953584923312,0.167281807285774,0.252449920394538,0.237072841923874,0.0825564193206791,NaN,0.39406335877077,0.280962631573941,0.318347618549223,NaN,0.288670839056673,0.193076618903513,0.211984274198806,0.294506274184637,0.367416755871263,0.244002235513417,0.346004410042322,0.11593842824801,0.17530561761745,0.165778586151886,0.316936229571304"	"NaN,0.822932765325217,0.878952817584049,0.623983472169858,0.772144223363903,0.862191703659201,0.776537225876374,0.6400926513802,0.858054043879042,0.853855506669503,0.827056374592879,0.598428771330918,0.733277791937586,0.743889738587397,0.715549329428685,NaN,0.827046415076688,0.832718192714226,0.747550079605461,0.762927158076126,0.917443580679321,NaN,0.60593664122923,0.719037368426059,0.681652381450776,NaN,0.711329160943326,0.806923381096487,0.788015725801194,0.705493725815363,0.632583244128737,0.755997764486583,0.653995589957678,0.88406157175199,0.82469438238255,0.834221413848114,0.683063770428696"	"0.564199907450156,0.190384901381962,0.0962587800862954,0.34063136535181,0.236539693129632,0.124584846184549,0.187527169098488,0.399482251869566,0.161517741325498,0.133178272553657,0.210638852018159,0.480344090136191,0.223535978376873,0.340838808647827,0.198416402141132,0.0843942978499106,0.0688021841177697,0.177943813823411,0.246367985029572,0.25892457539223,0.0894815433662677,0.278955539074696,0.269204845927157,0.289261494988453,0.222885960746026,0.382637253244413,0.302121089859472,0.208185988139124,0.329692168602008,0.270352129263343,0.233188952984519,0.182015676923084,0.338252505968232,0.0914209802881806,0.196589833363703,0.177895044894704,0.565630075947981"	"0.435800092549844,0.809615098618038,0.903741219913704,0.65936863464819,0.763460306870368,0.875415153815451,0.812472830901512,0.600517748130434,0.838482258674502,0.866821727446343,0.789361147981841,0.519655909863809,0.776464021623127,0.659161191352173,0.801583597858868,0.915605702150089,0.93119781588223,0.822056186176589,0.753632014970428,0.74107542460777,0.910518456633732,0.721044460925304,0.730795154072843,0.710738505011546,0.777114039253973,0.617362746755587,0.697878910140528,0.791814011860876,0.670307831397992,0.729647870736657,0.766811047015481,0.817984323076916,0.661747494031768,0.908579019711819,0.803410166636296,0.822104955105296,0.434369924052019"	"TCGA-AC-A62V,TCGA-E2-A1B4,TCGA-GM-A2DN,TCGA-AR-A251,TCGA-3C-AAAU,TCGA-AR-A2LM,TCGA-BH-A1FE,TCGA-B6-A0RU,TCGA-GM-A2DM,TCGA-A2-A0CK,TCGA-B6-A0RT,TCGA-EW-A1P8,TCGA-B6-A408,TCGA-AO-A128,TCGA-BH-A204,TCGA-BH-A1EU,TCGA-AR-A1AW,TCGA-GM-A3NW,TCGA-AO-A0JM,TCGA-B6-A0WV,TCGA-A2-A0EP,TCGA-OL-A66K,TCGA-AR-A0U2,TCGA-BH-A1EW,TCGA-BH-A1F2,TCGA-BH-A42T,TCGA-BH-A1EY,TCGA-B6-A0RV,TCGA-AR-A2LH,TCGA-AR-A24N,TCGA-BH-A1FC,TCGA-AR-A1AQ,TCGA-AC-A3EH,TCGA-E2-A1L8,TCGA-AR-A1AM,TCGA-AR-A0TZ,TCGA-AR-A5QQ"	"0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0"
"0.221028662800431,NaN,0.436664479592475,NaN,0.157430566836796,NaN,0.16624951136045,0.338942471227859,0.148111061465638,NaN,0.322296360791218,0.290652758450081,NaN,0.280324538698301,0.233348189028479,0.243384592887543,0.133696529858277,0.159067811397397,0.170113526536488,0.174870664656672,NaN,0.229205315281593,0.145447352776435,0.132120986591299,NaN,0.252095104811573,0.201428865990064,0.174434587847142,0.331130555367026,NaN,0.23591755076225,0.398559288715263,NaN,NaN,0.228816609133521,0.176605091292532"	"0.778971337199569,NaN,0.563335520407525,NaN,0.842569433163204,NaN,0.83375048863955,0.661057528772141,0.851888938534362,NaN,0.677703639208782,0.709347241549919,NaN,0.719675461301699,0.766651810971521,0.756615407112457,0.866303470141723,0.840932188602603,0.829886473463512,0.825129335343328,NaN,0.770794684718407,0.854552647223565,0.867879013408701,NaN,0.747904895188427,0.798571134009936,0.825565412152858,0.668869444632973,NaN,0.76408244923775,0.601440711284737,NaN,NaN,0.771183390866479,0.823394908707468"	"0.144500127633894,0.997379040068528,0.39470144984373,0.494454159929269,0.11075428179202,0.181911873336951,0.149713708343451,0.406816235297791,0.169961586292022,1.02898005603185,0.308767788087652,0.28595294894159,0.20813992913051,0.395686970234415,0.310598248537353,0.26155541764966,0.0710254912728375,0.109616868715905,0.102331310564406,0.149394877345789,0.219068154680581,0.248359454393138,0.0858625371369896,0.0515654658957548,0.383865542953418,0.138738698919822,0.219707048497775,0.133449950986908,0.369404958583332,0.354485170373704,0.271775293004943,0.400611931455544,0.169937982957269,0.387981749254811,0.227910588305575,0.165765365466944"	"0.855499872366106,0.00262095993147166,0.60529855015627,0.505545840070731,0.88924571820798,0.818088126663049,0.850286291656549,0.59318376470221,0.830038413707978,-0.028980056031853,0.691232211912348,0.71404705105841,0.79186007086949,0.604313029765585,0.689401751462647,0.73844458235034,0.928974508727163,0.890383131284095,0.897668689435594,0.850605122654211,0.780931845319419,0.751640545606862,0.91413746286301,0.948434534104245,0.616134457046582,0.861261301080178,0.780292951502225,0.866550049013092,0.630595041416668,0.645514829626296,0.728224706995057,0.599388068544456,0.830062017042731,0.612018250745189,0.772089411694425,0.834234634533056"	"TCGA-GM-A2DF,TCGA-E2-A1LK,TCGA-AR-A256,TCGA-E2-A1LE,TCGA-B6-A1KI,TCGA-BH-A0BF,TCGA-BH-A0B5,TCGA-BH-A1F6,TCGA-AR-A5QM,TCGA-A2-A3XU,TCGA-BH-A0BT,TCGA-GM-A2DC,TCGA-BH-A1FM,TCGA-GM-A2DH,TCGA-B6-A0RO,TCGA-BH-A1ES,TCGA-AR-A252,TCGA-GM-A2DO,TCGA-BH-A0H3,TCGA-E2-A1IE,TCGA-BH-A208,TCGA-C8-A3M7,TCGA-BH-A0DV,TCGA-GM-A4E0,TCGA-BH-A1EV,TCGA-BH-A1F5,TCGA-BH-A42U,TCGA-AO-A126,TCGA-Z7-A8R6,TCGA-B6-A0WW,TCGA-AR-A0TX,TCGA-AR-A2LK,TCGA-B6-A0X7,TCGA-AC-A2FM,TCGA-A2-A04R,TCGA-AR-A24X"	"1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1"
"0.122031880521707,0.212855604599956,0.212008866652829,0.419292832779547,NaN,0.162086533130122,NaN,0.291573052390398,NaN,0.11378606501038,0.332061866246801,0.138340140253895,0.217166021002679,0.136642955892179,0.119597365580658,0.248137385090187,0.313542667035626,NaN,0.100934101279539,NaN,0.167678465344465,0.131621685609201,0.133215724618895,0.289752009744618,NaN,0.314273113049064,NaN,NaN,NaN,0.159635582578864,NaN,0.178362383927771,NaN,0.145108883591433,NaN,0.300954656984122,0.130925929538395,0.151402524147493,0.197501817409158,0.309913213054214,0.140070342142486,NaN,NaN,0.530337746038882"	"0.877968119478293,0.787144395400044,0.787991133347171,0.580707167220453,NaN,0.837913466869878,NaN,0.708426947609602,NaN,0.88621393498962,0.667938133753199,0.861659859746105,0.782833978997321,0.863357044107821,0.880402634419342,0.751862614909813,0.686457332964374,NaN,0.89906589872046,NaN,0.832321534655535,0.868378314390799,0.866784275381105,0.710247990255382,NaN,0.685726886950936,NaN,NaN,NaN,0.840364417421136,NaN,0.821637616072229,NaN,0.854891116408567,NaN,0.699045343015878,0.869074070461605,0.848597475852507,0.802498182590842,0.690086786945786,0.859929657857514,NaN,NaN,0.469662253961118"	"0.0416168480220434,0.147759692681826,0.193162415968522,0.428754407840927,0.386781138661781,0.142352136948224,0.738103260887339,0.186530722894048,0.227200145496932,0.0864284425271452,0.242993568317542,0.0722832309520145,0.186227401532847,0.143849188857489,0.0813133204318038,0.182027225630968,0.152662872214265,0.493123211952099,0.0594448133322334,0.428436531188969,0.182133362499331,0.102373427390503,0.131979787804398,0.293564571505271,0.371638446501868,0.273323171793405,0.473419210591238,0.16967558723719,0.252083685868264,0.193604669666539,0.59697383820997,0.183855202556861,0.310981936500916,0.178104470450133,0.401608231711165,0.268176996382935,0.115210650196073,0.128967255393901,0.188129827718829,0.362532455214973,0.118912430269365,0.350317615911894,0.358081559703705,0.455410055458347"	"0.958383151977957,0.852240307318174,0.806837584031477,0.571245592159073,0.613218861338219,0.857647863051777,0.261896739112661,0.813469277105952,0.772799854503068,0.913571557472855,0.757006431682459,0.927716769047986,0.813772598467153,0.856150811142511,0.918686679568196,0.817972774369031,0.847337127785735,0.506876788047901,0.940555186667767,0.571563468811031,0.81786663750067,0.897626572609497,0.868020212195602,0.706435428494729,0.628361553498132,0.726676828206595,0.526580789408762,0.83032441276281,0.747916314131736,0.806395330333461,0.40302616179003,0.816144797443139,0.689018063499084,0.821895529549867,0.598391768288835,0.731823003617065,0.884789349803927,0.871032744606099,0.811870172281171,0.637467544785027,0.881087569730635,0.649682384088106,0.641918440296295,0.544589944541653"	"TCGA-AR-A2LE,TCGA-E2-A1IO,TCGA-AR-A24R,TCGA-B6-A1KN,TCGA-BH-A1EX,TCGA-AR-A1AN,TCGA-AC-A23H,TCGA-AR-A24S,TCGA-E9-A226,TCGA-BH-A0C3,TCGA-B6-A0X5,TCGA-BH-A0BM,TCGA-AR-A0TW,TCGA-E2-A1B1,TCGA-GM-A2DK,TCGA-B6-A0RG,TCGA-BH-A1FG,TCGA-UU-A93S,TCGA-A2-A0EN,TCGA-A2-A0YT,TCGA-BH-A0BS,TCGA-AR-A1AL,TCGA-GM-A3XN,TCGA-AR-A1AP,TCGA-E9-A1RB,TCGA-AO-A1KR,TCGA-A7-A13E,TCGA-BH-A8FY,TCGA-B6-A3ZX,TCGA-AR-A1AO,TCGA-BH-A203,TCGA-AO-A12B,TCGA-D8-A1Y1,TCGA-BH-A1FR,TCGA-E9-A2JS,TCGA-E2-A1AZ,TCGA-A2-A25A,TCGA-D8-A73W,TCGA-BH-A0B6,TCGA-A2-A1FX,TCGA-AC-A2FO,TCGA-BH-A1FU,TCGA-E2-A2P5,TCGA-B6-A1KF"	"1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1"
